cwe,capecs
69,[168.]
272,[17. 35. 76.]
282,[17. 35.]
270,[17. 30. 35.]
497,[170.]
829,[175. 201. 228. 251. 252. 253. 263. 549. 660.]
1233,[176. 680.]
1234,[176.]
1304,[176.]
1328,[176.]
80,[ 18. 193.  32.  86.]
1190,[180.]
1268,[180.]
1280,[180.]
494,[184. 185. 186. 187. 533. 657. 662.]
203,[189.]
1255,[189.]
1300,[189.]
284,"[ 19. 441. 478. 479. 502. 503. 536. 546. 550. 551. 552. 556. 558. 562.
 563. 564. 578.]"
798,[191.  70.]
98,[193.]
384,[196.  21.  31.  39.  59.  60.  61.]
664,[196.  21.  60.  61.  62.]
776,[197.]
81,[198.]
87,[199.]
645,[2.]
327,[ 20. 459. 473. 475. 608. 614.  97.]
1204,[20. 97.]
524,[204.]
79,[209. 588. 591. 592.  63.  85.]
646,[209.]
290,[ 21.  22. 459. 461. 473. 476.  59.  60. 667.  94.]
539,[21. 31. 39. 59. 60.]
6,[21. 59.]
642,[21. 31.]
1242,[212.  36.]
1246,[212.]
1281,[212.]
209,[215. 463.  54.   7.]
532,[215.]
610,[219.]
757,[220. 606. 620.]
611,[221.]
565,[226.  31.  39.]
112,[230. 231.]
674,[230. 231.]
1264,[233. 663.]
94,[242.  35.  77.]
83,[243. 244. 588.]
85,[245.]
86,[247.  73.  85.]
412,[25.]
567,[25.]
662,[25. 26. 27. 29.]
667,[25. 26. 27.]
833,[25.]
1322,[25.]
91,[250.  83.]
707,"[250. 276. 277. 278. 279.   3.  43. 468.  52.  53.  64.   7.  78.  79.
  83.  84.]"
368,[26. 29.]
363,[26.]
366,[26. 29.]
370,[26. 29.]
362,[26. 29.]
689,[26. 27.]
665,[26. 29.]
1223,[26.]
1254,[26.]
1298,[26.]
180,[267.   3.  71.  78.  79.  80.]
117,[268.  81.  93.]
367,[27. 29.]
61,[27.]
691,[29.]
663,[29.]
41,[3.]
179,[ 3. 43. 71.]
113,[31. 34. 85.]
315,[31. 37. 39. 74.]
444,[33.]
96,[35. 73. 77. 81. 85.]
95,[35.]
695,[36.]
226,[37.]
525,[37.]
312,[37.]
314,[37.]
318,[37. 65.]
1278,[ 37. 545.]
1301,[37.]
426,[38.]
427,[ 38. 471.]
419,[383.]
471,[384. 385. 386. 387. 388.]
233,[39.]
291,[4.]
1263,[401.]
1269,[439.]
295,[459. 475.]
147,[460.]
235,[460.]
328,[461.  68.]
385,[462.]
208,[462.]
514,[463.]
649,[463.]
347,[463. 475.]
696,[463.]
359,[464. 467. 508.]
300,[466.  57. 589. 590. 612. 613. 615. 662.  94.]
149,[468.]
838,[468.]
772,[469.]
130,[47.]
241,[48.]
257,[49.]
1333,[492.]
925,[499.]
640,[50.]
923,[501.]
158,[52. 53.]
125,[540.]
261,[55.]
916,[55.]
1299,[554.]
1273,[560.]
267,[ 58. 634. 637. 643. 648.]
502,[586.]
331,[59.]
488,[59. 60.]
940,[594. 595. 596.]
36,[597.]
1275,[62.]
1247,[624.]
1248,[624.]
1256,[624.]
1319,[624.]
1332,[624.]
1334,[624.]
1290,[629.]
1292,[629.]
162,[635.]
836,[644. 652.]
46,[649.]
553,[650.]
1286,[ 66. 676.]
1037,[663.]
1303,[663.]
918,[664.]
1188,[665.]
862,[665.]
943,[676.]
1222,[679.]
1252,[679.]
1257,[679.]
1260,[679.]
1274,[679.]
1282,[679.]
1312,[679.]
1316,[679.]
1326,[679.  68.]
325,[68.]
1224,[680.]
1231,[680.]
1262,[680.]
1283,[680.]
176,[71.]
1245,[74.]
1253,[74.]
1265,[74.]
1271,[74.]
473,[77.]
75,[81. 93.]
221,[81.]
279,[81.]
301,[90.]
303,[90.]
190,[92.]
128,[92.]
122,[92.]
196,[92.]
593,[94.]
538,[95.]
589,[96.]
1240,[97.]
1241,[97.]
1279,[97.]
